theta1,theta2,theta3,x,y,phi
1.21,-0.81,-1.13,20.19,6.58,-41.83
0.01,-1.89,1.51,16.28,-13.04,-21.2
2.58,-2.18,1.33,-0.84,19.09,99.12
2.94,-0.99,-0.36,-13.69,21.29,91.1
0.6,-1.83,-0.83,6.9,-12.61,-118.03
1.88,-1.05,-0.34,12.53,21.61,28.07
0.18,-1.39,1.14,23.34,-8.27,-4.01
1.34,-1.49,0.77,20.31,14.05,35.52
2.04,-1.13,0.93,-1.04,26.45,105.42
0.26,-2.63,-1.19,-6.64,-0.34,-203.97
0.96,-0.21,-0.33,22.18,19.09,24.06
1.37,-3.09,1.2,9.19,-5.06,-29.79
1.54,-1.36,-0.17,20.15,11.89,0.57
1.36,-1.63,-1.19,12.84,-2.83,-83.65
0.42,-0.83,1.43,23.54,8.61,58.44
0.54,-2.14,1.44,18.16,-6.45,-9.17
2.38,-1.49,0.32,2.59,24.03,69.33
0.15,-2.64,0.73,0.06,-14.39,-100.84
0.09,-0.81,-0.18,23.69,-13.53,-51.57
0.52,-0.31,-1.12,24.6,-0.84,-52.14
1.26,-0.77,0.92,13.48,24.1,80.79
2.01,-2.8,1.36,11.21,7.34,32.66
0.77,-2.59,-1.46,-5.19,-1.35,-187.93
2.94,-3.04,-1.49,-0.04,-8.99,-91.1
2.92,-2.99,0.45,9.51,5.21,21.77
1.19,-2.28,1.25,18.21,2.01,9.17
2.84,-2.17,-0.9,8.03,6.9,-13.18
1.06,-2.49,-0.04,7.3,-11.13,-84.22
1.04,-1.26,-0.93,18.91,-2.69,-65.89
2.45,-1.53,-1.33,7.53,10.35,-23.49
0.32,-1.44,0.87,23.54,-8.33,-14.32
1.88,-2.01,-0.26,16.12,4.43,-22.35
1.66,-0.08,-0.18,0.72,29.81,80.21
0.47,-2.16,0.78,13.86,-13.3,-52.14
0.81,-1.76,-0.36,15.29,-10.55,-75.06
1.87,-2.06,-0.92,11.32,-1.29,-63.6
0.36,-2.3,-1.07,-4.16,-7.12,-172.46
1.05,-1.92,-0.81,10.33,-8.91,-96.26
2.03,-2.49,-0.73,8.24,-4.76,-68.18
1.2,-1.67,-0.39,19.06,-2.79,-49.27
0.34,-0.51,-1.44,18.89,-8.35,-92.25
2.22,-1.1,-0.5,6.45,22.78,35.52
2.06,-1.25,-0.45,11.55,19.59,20.63
1.27,-0.56,0.66,12.54,25.87,78.5
2.76,-0.81,-1.03,-6.92,20.97,52.71
1.83,-2.53,-0.51,8.62,-6.13,-69.33
0.52,-2.74,0.06,-2.92,-11.31,-123.76
1.99,-2.99,-1.0,-2.83,-8.37,-114.59
2.56,-1.62,-0.35,5.85,19.13,33.8
3.01,-0.38,0.31,-28.43,8.21,168.45
0.74,-0.27,0.25,23.82,17.87,41.25
0.11,-2.09,0.02,2.17,-17.33,-112.3
2.56,-2.29,-0.23,11.27,8.56,2.29
2.3,-3.09,1.03,10.09,2.73,13.75
0.24,-2.81,-1.26,-6.42,3.32,-219.44
1.65,-1.86,1.03,15.81,15.2,46.98
0.11,-1.88,-0.88,-0.86,-13.42,-151.83
1.39,-1.06,0.73,16.15,21.8,60.73
1.82,-2.49,-0.49,9.37,-5.69,-66.46
0.05,-3.11,1.48,-0.07,-10.31,-90.53
0.19,-1.02,0.9,26.54,-4.79,4.01
1.85,-0.33,-0.59,3.73,27.62,53.29
0.44,-1.54,0.46,21.6,-10.62,-36.67
0.85,-0.71,-0.07,26.48,9.61,4.01
0.73,-0.44,-0.79,25.81,4.73,-28.65
1.16,-0.5,0.7,13.99,25.08,77.92
